34.03.01.2012,Mulo
34.03.01.2013,Wunung
34.03.01.2014,Karangrejek
34.03.02.2001,Natah
34.03.02.2002,Pilangrejo
34.03.02.2003,Kedungpoh
34.03.02.2004,Pengkol
34.03.02.2005,Kedungkeris
34.03.02.2006,Nglipar
34.03.02.2007,Katongan
34.03.03.2001,Banyusoco
34.03.03.2002,Plembutan
34.03.03.2003,Bleberan
34.03.03.2004,Getas
34.03.03.2005,Dengok
34.03.03.2006,Ngunut
34.03.03.2007,Playen
34.03.03.2008,Ngawu
34.03.03.2009,Bandung
34.03.03.2010,Logandeng
34.03.03.2011,Gading
34.03.03.2012,Banaran
34.03.03.2013,Ngleri
34.03.04.2001,Bunder
34.03.04.2002,Beji
34.03.04.2003,Pengkok
34.03.04.2004,Semoyo
34.03.04.2005,Salam
34.03.04.2006,Patuk
34.03.04.2007,Ngoro-oro
34.03.04.2008,Nglanggeran
34.03.04.2009,Putat
34.03.04.2010,Nglegi
34.03.04.2011,Terbah
34.03.05.2001,Sodo
34.03.05.2002,Pampang
34.03.05.2003,Grogol
34.03.05.2004,Karangduwet
34.03.05.2005,Karangasem
34.03.05.2006,Mulusan
34.03.05.2007,Giring
34.03.06.2001,Girikarto
34.03.06.2002,Girisekar
34.03.06.2003,Girimulyo
34.03.06.2004,Giriwungu
34.03.06.2005,Giriharjo
34.03.06.2006,Girisuko
34.03.07.2001,Giripanggung
34.03.07.2002,Sumberwungu
34.03.07.2003,Sidoharjo
34.03.07.2004,Tepus
34.03.07.2005,Purwodadi
34.03.08.2001,Ngeposari
34.03.08.2002,Semanu
34.03.08.2003,Pacarejo
34.03.08.2004,Candirejo
34.03.08.2005,Dadapayu
34.03.09.2001,Bejiharjo
34.03.09.2002,Wiladeg
34.03.09.2003,Bendungan
34.03.09.2004,Kelor
34.03.09.2005,Ngipak
34.03.09.2006,Karangmojo
34.03.09.2007,Gedangrejo
34.03.09.2008,Ngawis
34.03.09.2009,Jatiayu
34.03.10.2001,Umbulrejo
34.03.10.2002,Sawahan
34.03.10.2003,Tambakromo
34.03.10.2004,Kenteng
34.03.10.2005,Sumbergiri
34.03.10.2006,Genjahan
34.03.10.2007,Ponjong
34.03.10.2008,Karangasem
34.03.10.2009,Bedoyo
34.03.10.2010,Sidorejo
34.03.10.2011,Gombang
34.03.11.2001,Bohol
34.03.11.2002,Pringombo
34.03.11.2003,Botodayaan
34.03.11.2004,Petir
34.03.11.2005,Pucanganom
34.03.11.2006,Semugih
34.03.11.2007,Melikan
34.03.11.2008,Karangwuni
34.03.12.2001,Kalitekuk
34.03.12.2002,Kemejing
34.03.12.2003,Bulurejo
34.03.12.2004,Sumberejo
34.03.12.2005,Bendung
34.03.12.2006,Candirejo
34.03.12.2007,Rejosari
34.03.12.2008,Karangsari
34.03.12.2009,Pundungsari
34.03.12.2010,Semin
34.03.13.2001,Tancep
34.03.13.2002,Sambirejo
34.03.13.2003,Jurangjero
34.03.13.2004,Kampung
34.03.13.2005,Beji
34.03.13.2006,Watusigar
34.03.14.2001,Hargomulyo
34.03.14.2002,Mertelu
34.03.14.2003,Watugajah
34.03.14.2004,Sampang
34.03.14.2005,Serut
34.03.14.2006,Ngalang
34.03.14.2007,Tegalrejo
34.03.15.2001,Krambilsawit
34.03.15.2002,Ngloro
34.03.15.2003,Jetis
34.03.15.2004,Kepek
34.03.15.2005,Kanigoro
34.03.15.2006,Monggol
34.03.15.2007,Planjan
34.03.16.2001,Balong
34.03.16.2002,Jepitu
34.03.16.2003,Karangawen
34.03.16.2004,Nglindur
34.03.16.2005,Jerukwudel
34.03.16.2006,Tileng
34.03.16.2007,Pucung
34.03.16.2008,Songbanyu
34.03.17.2001,Hargosari
34.03.17.2002,Kemiri
34.03.17.2003,Kemadang
34.03.17.2004,Banjarejo
34.03.17.2005,Ngestirejo
34.03.18.2001,Giripurwo
34.03.18.2002,Giricahyo
34.03.18.2003,Girijati
34.03.18.2004,Giriasih
34.03.18.2005,Giritirto
34.04.01.2001,Balecatur
34.04.01.2002,Ambarketawang
34.04.01.2003,Banyuraden
34.04.01.2004,Nogotirto
34.04.01.2005,Trihanggo
34.04.02.2001,Sidorejo
34.04.02.2002,Sidoluhur
34.04.02.2003,Sidomulyo
34.04.02.2004,Sidoagung
34.04.02.2005,Sidokarto
34.04.02.2006,Sidoarum
34.04.02.2007,Sidomoyo
34.04.03.2001,Sumberrahayu
34.04.03.2002,Sumbersari
34.04.03.2003,Sumberagung
34.04.03.2004,Sumberarum
34.04.04.2001,Sendangarum
34.04.04.2002,Sendangmulyo
34.04.04.2003,Sendangagung
34.04.04.2004,Sendangsari
34.04.04.2005,Sendangrejo
34.04.05.2001,Margoluwih
34.04.05.2002,Margodadi
34.04.05.2003,Margokaton
34.04.05.2004,Margomulyo
34.04.05.2005,Margoagung
34.04.06.2001,Sinduadi
34.04.06.2002,Sendangadi
34.04.06.2003,Tlogoadi
34.04.06.2004,Tirtoadi
34.04.06.2005,Sumberadi
34.04.07.2001,Caturtunggal
34.04.07.2002,Maguwoharjo
34.04.07.2003,Condongcatur
34.04.08.2001,Sendangtirto
34.04.08.2002,Tegaltirto
34.04.08.2003,Kalitirto
34.04.08.2004,Jogotirto
34.04.09.2001,Sumberharjo
34.04.09.2002,Wukirharjo
34.04.09.2003,Gayamharjo
34.04.09.2004,Sambirejo
34.04.09.2005,Madurejo
34.04.09.2006,Bokoharjo
34.04.10.2001,Purwomartani
34.04.10.2002,Tirtomartani
34.04.10.2003,Tamanmartani
34.04.10.2004,Selomartani
34.04.11.2001,Sindumartani
34.04.11.2002,Bimomartani
34.04.11.2003,Widodomartani
34.04.11.2004,Wedomartani
34.04.11.2005,Umbulmartani
34.04.12.2001,Sariharjo
34.04.12.2002,Minomartani
34.04.12.2003,Sinduharjo
34.04.12.2004,Sukoharjo
34.04.12.2005,Sardonoharjo
34.04.12.2006,Donoharjo
34.04.13.2001,Caturharjo
34.04.13.2002,Triharjo
34.04.13.2003,Tridadi
34.04.13.2004,Pandowoharjo
34.04.13.2005,Trimulyo
34.04.14.2001,Banyurejo
34.04.14.2002,Tambakrejo
34.04.14.2003,Sumberrejo
34.04.14.2004,Pondokrejo
34.04.14.2005,Mororejo
34.04.14.2006,Margorejo
34.04.14.2007,Lumbungrejo
34.04.14.2008,Merdikorejo
34.04.15.2001,Bangunkerto
34.04.15.2002,Donokerto
34.04.15.2003,Girikerto
34.04.15.2004,Wonokerto
34.04.16.2001,Purwobinangun
34.04.16.2002,Candibinangun
34.04.16.2003,Harjobinangun
34.04.16.2004,Pakembinangun
34.04.16.2005,Hargobinangun
34.04.17.2001,Argomulyo
34.04.17.2002,Wukirsari
34.04.17.2003,Glagaharjo
34.04.17.2004,Kepuharjo
34.04.17.2005,Umbulharjo
34.71.01.1001,Kricak
34.71.01.1002,Karangwaru
34.71.01.1003,Tegalrejo
34.71.01.1004,Bener
34.71.02.1001,Bumijo
34.71.02.1002,Cokrodiningratan
34.71.02.1003,Gowongan
34.71.03.1001,Demangan
34.71.03.1002,Kotabaru
34.71.03.1003,Klitren
34.71.03.1004,Baciro
34.71.03.1005,Terban
34.71.04.1001,Suryatmajan
34.71.04.1002,Tegalpanggung
34.71.04.1003,Bausasran
34.71.05.1001,Sosromenduran
34.71.05.1002,Pringgokusuman
34.71.06.1001,Ngampilan
34.71.06.1002,Notoprajan
34.71.07.1001,Pakuncen
34.71.07.1002,Wirobrajan
34.71.07.1003,Patangpuluhan
34.71.08.1001,Gedongkiwo
34.71.08.1002,Suryodiningratan
34.71.08.1003,Mantrijeron
34.71.09.1001,Patehan
34.71.09.1002,Panembahan
34.71.09.1003,Kadipaten
34.71.10.1001,Ngupasan
34.71.10.1002,Prawirodirjan
34.71.11.1001,Purwokinanti
34.71.11.1002,Gunungketur
34.71.12.1001,Keparakan
34.71.12.1002,Wirogunan
34.71.12.1003,Brontokusuman
34.71.13.1001,Semaki
34.71.13.1002,Muja Muju
34.71.13.1003,Tahunan
34.71.13.1004,Warungboto
34.71.13.1005,Pandeyan
34.71.13.1006,Sorosutan
34.71.13.1007,Giwangan
34.71.14.1001,Rejowinangun
34.71.14.1002,Prenggan
34.71.14.1003,Purbayan
